epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.416,0.84407,2.32399,0.88309,0.477,0.46864,0.48864,0.36379,0.8752,1.91021,0.90699,0.00048343,0.00048343,0.00048343
2,198.736,0.72975,1.15177,0.8427,0.48775,0.9847,0.48174,0.39446,0.67005,1.53616,0.8679,0.000964056,0.000964056,0.000964056
3,297.741,0.73199,1.12025,0.84009,0.48566,0.98588,0.48849,0.42208,0.67243,1.25604,0.87794,0.00142488,0.00142488,0.00142488
4,396.029,0.68678,1.0717,0.84342,0.47667,0.48588,0.49185,0.43511,0.58726,0.91866,0.89252,0.00156798,0.00156798,0.00156798
5,495.923,0.70557,1.02309,0.84871,0.50543,0.64972,0.52009,0.47649,0.45248,0.78405,0.82095,0.00153497,0.00153497,0.00153497
6,594.564,0.63777,0.93935,0.83708,0.90472,0.65054,0.70869,0.63311,0.49095,0.74089,0.82868,0.00150197,0.00150197,0.00150197
7,694.609,0.67109,0.8849,0.83945,0.68672,0.62994,0.71386,0.66629,0.4341,0.64637,0.81275,0.00146896,0.00146896,0.00146896
8,794.641,0.60923,0.79648,0.83036,0.59764,0.94113,0.73201,0.6827,0.44262,0.83497,0.81302,0.00143595,0.00143595,0.00143595
9,889.275,0.58261,0.73396,0.82648,0.48627,0.97614,0.84897,0.80396,0.46496,1.3717,0.81492,0.00140295,0.00140295,0.00140295
10,951.886,0.5732,0.72495,0.82311,0.97696,0.78075,0.86982,0.79179,0.44184,0.65913,0.81218,0.00136994,0.00136994,0.00136994
11,1014.24,0.57576,0.69769,0.82613,0.81996,0.78992,0.85897,0.81145,0.47494,0.58207,0.81895,0.00133693,0.00133693,0.00133693
12,1074.73,0.57182,0.67548,0.82255,0.64594,0.76416,0.86929,0.82022,0.43279,0.6213,0.81469,0.00130393,0.00130393,0.00130393
13,2301.06,0.58827,0.67046,0.83048,0.72404,0.95665,0.90339,0.84257,0.39659,0.61774,0.80434,0.00127092,0.00127092,0.00127092
14,2406.48,0.55104,0.61901,0.8206,0.74541,0.96141,0.92058,0.8799,0.37122,0.55567,0.79257,0.00123791,0.00123791,0.00123791
15,2503.48,0.54202,0.63547,0.82244,0.9683,0.95486,0.98459,0.9315,0.39759,0.54749,0.80172,0.00120491,0.00120491,0.00120491
16,2600.42,0.5457,0.62124,0.81741,0.59941,0.95207,0.89512,0.86299,0.37071,0.62847,0.80199,0.0011719,0.0011719,0.0011719
17,2697,0.53577,0.61283,0.81751,0.75657,0.94629,0.98197,0.95866,0.35632,0.54111,0.79554,0.00113889,0.00113889,0.00113889
18,2796.87,0.50738,0.57873,0.81157,0.74817,0.88881,0.98089,0.94965,0.38426,0.56092,0.7984,0.00110589,0.00110589,0.00110589
19,2896.25,0.52328,0.58416,0.81527,0.94117,0.95809,0.98257,0.92733,0.40498,0.48632,0.80137,0.00107288,0.00107288,0.00107288
20,2991.83,0.51247,0.53846,0.81178,0.90393,0.93796,0.98428,0.95476,0.36124,0.49734,0.7974,0.00103987,0.00103987,0.00103987
21,3080.79,0.49233,0.53827,0.81691,0.50029,0.97793,0.98232,0.93432,0.36705,0.83759,0.79996,0.00100687,0.00100687,0.00100687
22,3157.85,0.53729,0.56693,0.81349,0.985,0.97479,0.9829,0.9294,0.39061,0.46008,0.79973,0.000973861,0.000973861,0.000973861
23,3244.75,0.50508,0.54365,0.8137,0.71426,0.83561,0.97999,0.9266,0.37521,0.58225,0.79877,0.000940855,0.000940855,0.000940855
24,3341.98,0.48455,0.52115,0.81012,0.89964,0.93145,0.97836,0.95356,0.34247,0.46965,0.79154,0.000907848,0.000907848,0.000907848
25,3407.37,0.51235,0.52357,0.81006,0.97243,0.98393,0.97933,0.92551,0.3679,0.4259,0.79376,0.000874842,0.000874842,0.000874842
26,3470.11,0.51118,0.51133,0.81501,0.67677,0.90912,0.97736,0.92115,0.36579,0.47859,0.79292,0.000841835,0.000841835,0.000841835
27,3531.71,0.48177,0.4988,0.80814,0.96247,0.97796,0.97709,0.92547,0.33622,0.40136,0.78723,0.000808828,0.000808828,0.000808828
28,3593.9,0.48567,0.50358,0.80815,0.952,0.94509,0.97761,0.93015,0.34729,0.42612,0.78822,0.000775822,0.000775822,0.000775822
29,3657.58,0.49056,0.50136,0.81081,0.97373,0.98405,0.98162,0.93401,0.34683,0.41703,0.7871,0.000742815,0.000742815,0.000742815
30,3727.81,0.46188,0.47945,0.80795,0.96108,0.96157,0.98124,0.93878,0.32594,0.45498,0.78919,0.000709809,0.000709809,0.000709809
31,3815.6,0.47828,0.46998,0.80798,0.84625,0.95212,0.98252,0.93242,0.34963,0.43117,0.79017,0.000676802,0.000676802,0.000676802
32,3881.63,0.45777,0.45327,0.80647,0.9351,0.97221,0.97955,0.9242,0.35392,0.41605,0.79405,0.000643795,0.000643795,0.000643795
