epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7582,0.84102,1.43469,0.8844,0.03101,1,0.46726,0.34768,0.66454,2.83112,0.84569,0.000651852,0.000651852,0.000651852
2,131.327,0.71715,0.7466,0.86311,0.96671,0.94988,0.95872,0.85428,0.52495,1.68393,0.87173,0.00129241,0.00129241,0.00129241
3,196.705,0.72836,0.69201,0.86463,0.96201,0.96729,0.9578,0.83024,0.58512,0.78651,0.85113,0.00190657,0.00190657,0.00190657
4,269.997,0.71861,0.65117,0.86246,0.96655,0.96729,0.95488,0.87626,0.44143,0.68323,0.82297,0.0018812,0.0018812,0.0018812
5,343.041,0.63345,0.60562,0.8495,0.96709,0.96729,0.96117,0.83835,0.56204,0.73322,0.86365,0.0018416,0.0018416,0.0018416
6,411.691,0.59523,0.56333,0.84346,0.96691,0.96729,0.95978,0.85895,0.46868,0.57912,0.82935,0.001802,0.001802,0.001802
7,480.019,0.58028,0.50782,0.8319,0.96703,0.96729,0.95624,0.86746,0.44081,0.55606,0.81656,0.0017624,0.0017624,0.0017624
8,547.562,0.58323,0.50595,0.83481,0.967,0.96729,0.96509,0.89138,0.39893,0.51405,0.80885,0.0017228,0.0017228,0.0017228
9,650.986,0.56066,0.49311,0.82823,0.96699,0.96729,0.95363,0.87608,0.4313,0.48055,0.82635,0.0016832,0.0016832,0.0016832
10,758.238,0.58108,0.4862,0.83632,0.967,0.96729,0.96367,0.87049,0.43566,0.45871,0.82289,0.0016436,0.0016436,0.0016436
11,856.213,0.56079,0.47473,0.8287,0.967,0.96729,0.95206,0.89069,0.37526,0.44559,0.81683,0.001604,0.001604,0.001604
12,950.456,0.52806,0.44783,0.83423,0.96701,0.96729,0.95925,0.88699,0.38823,0.43501,0.81368,0.0015644,0.0015644,0.0015644
13,1113.47,0.54707,0.44037,0.83183,0.967,0.96729,0.9671,0.88025,0.41164,0.43055,0.81669,0.0015248,0.0015248,0.0015248
14,1267.37,0.54678,0.43204,0.8249,0.96702,0.96729,0.95037,0.89078,0.3578,0.38836,0.8076,0.0014852,0.0014852,0.0014852
15,1415.21,0.53379,0.41861,0.82565,0.96702,0.96729,0.95987,0.90114,0.35693,0.39502,0.80258,0.0014456,0.0014456,0.0014456
16,1564.45,0.52215,0.41216,0.82199,0.967,0.96729,0.9745,0.91738,0.34465,0.38888,0.80401,0.001406,0.001406,0.001406
17,1713.47,0.49684,0.38984,0.82134,0.96701,0.96729,0.97505,0.92023,0.33913,0.34967,0.80699,0.0013664,0.0013664,0.0013664
18,1861.49,0.5254,0.40047,0.82309,0.96697,0.96729,0.97329,0.90647,0.36216,0.38257,0.81102,0.0013268,0.0013268,0.0013268
